"Date";"Text Posts";"Video Posts";"Total";"New Users"
2023-03-06;2;0;2;1
2023-03-03;0;0;0;1
2023-02-24;0;0;0;1
2023-02-22;1;0;1;0
2023-02-21;4;0;4;0
2023-02-20;2;0;2;1
2023-02-19;1;0;1;0
2023-02-15;4;0;4;1
2023-02-02;0;0;0;1
2023-01-29;0;0;0;1
2023-01-20;0;0;0;1
2023-01-16;1;0;1;0
2023-01-14;5;0;5;1
2023-01-13;3;0;3;1
2023-01-12;5;0;5;1
2023-01-11;6;0;6;0
2023-01-10;3;0;3;0
2023-01-09;0;0;0;1
2023-01-07;2;0;2;0
2023-01-06;1;0;1;3
2023-01-02;0;0;0;3
2023-01-01;7;0;7;2
2022-12-31;1;0;1;2
2022-12-30;2;0;2;0
2022-12-19;2;0;2;1
2022-12-05;0;0;0;2
2022-11-30;2;0;2;1
2022-11-24;0;0;0;1
2022-11-20;5;0;5;0
2022-11-19;9;0;9;0
2022-11-18;4;0;4;1
2022-11-17;5;0;5;0
2022-11-16;13;0;13;2
2022-11-15;5;0;5;0
2022-11-14;2;0;2;0
2022-11-11;25;0;25;0
2022-11-10;1;0;1;0
2022-11-02;4;0;4;1
2022-11-01;17;0;17;1
2022-10-31;1;0;1;1
2022-10-26;3;0;3;0
2022-10-24;10;0;10;1
2022-10-23;21;0;21;1
2022-10-22;7;0;7;0
2022-10-21;2;0;2;0
2022-10-20;15;0;15;0
2022-10-19;4;0;4;1
2022-10-17;0;0;0;1
2022-10-11;0;0;0;1
2022-10-07;0;0;0;2
2022-10-05;0;0;0;1
2022-10-04;4;0;4;1
2022-10-03;2;0;2;1
2022-09-27;3;0;3;0
2022-09-25;4;0;4;1
2022-09-23;4;0;4;1
2022-09-22;2;0;2;0
2022-09-21;2;0;2;0
2022-09-20;5;0;5;0
2022-09-19;9;0;9;1
2022-09-16;1;0;1;0
2022-09-14;1;0;1;1
2022-09-09;0;0;0;1
2022-09-07;0;0;0;1
2022-09-06;0;0;0;2
2022-09-02;6;0;6;1
2022-09-01;9;0;9;0
2022-08-31;3;0;3;0
2022-08-30;1;0;1;0
2022-08-29;9;0;9;0
2022-08-28;3;0;3;0
2022-08-27;14;0;14;1
2022-08-24;0;0;0;1
2022-08-21;2;0;2;0
2022-08-20;2;0;2;0
2022-08-19;1;0;1;0
2022-08-15;2;0;2;3
2022-08-11;1;0;1;0
2022-08-10;11;0;11;0
2022-08-09;14;0;14;0
2022-08-08;8;0;8;0
2022-08-07;0;0;0;1
2022-08-02;1;0;1;1
2022-08-01;1;0;1;0
2022-07-31;3;0;3;0
2022-07-29;8;0;8;2
2022-07-28;12;0;12;0
2022-07-27;7;0;7;2
2022-07-26;2;0;2;0
2022-07-25;1;0;1;1
2022-07-24;1;0;1;1
2022-07-22;0;0;0;2
2022-07-19;2;0;2;0
2022-06-30;0;0;0;1
2022-06-02;0;0;0;1
2022-05-31;10;0;10;1
2022-05-24;0;0;0;1
2022-05-22;2;0;2;1
2022-05-21;0;0;0;1
2022-05-09;0;0;0;1
2022-05-08;1;0;1;0
2022-05-05;0;0;0;1
2022-04-25;0;0;0;1
2022-04-21;1;0;1;0
2022-04-20;2;0;2;0
2022-04-18;1;0;1;0
2022-04-12;0;0;0;1
2022-04-11;0;0;0;1
2022-03-25;1;0;1;1
2022-03-24;1;0;1;0
2022-03-23;1;0;1;0
2022-03-22;2;0;2;0
2022-03-14;0;0;0;1
2022-03-13;3;0;3;0
2022-03-12;10;0;10;0
2022-03-11;8;0;8;0
2022-03-10;1;0;1;0
2022-03-07;1;0;1;0
2022-03-05;1;0;1;1
2022-03-04;2;0;2;0
2022-03-03;3;0;3;1
2022-02-19;3;0;3;0
2022-02-18;8;0;8;1
2022-02-17;4;0;4;0
2022-02-16;11;0;11;0
2022-02-15;1;0;1;0
2022-02-08;2;0;2;0
2022-02-07;1;0;1;0
2022-02-06;5;0;5;0
2022-02-05;4;0;4;0
2022-02-04;1;0;1;0
2022-02-03;1;0;1;1
2022-01-27;1;0;1;0
2022-01-26;3;0;3;0
2022-01-25;4;0;4;0
2022-01-24;1;0;1;0
2022-01-23;5;0;5;0
2022-01-22;3;0;3;1
2022-01-21;3;0;3;0
2022-01-20;14;0;14;0
2022-01-19;7;0;7;0
2022-01-18;4;0;4;1
2022-01-17;1;0;1;0
2022-01-15;1;0;1;0
2022-01-12;1;0;1;1
2022-01-11;1;0;1;1
2022-01-09;0;0;0;1
2022-01-03;0;0;0;1
2021-12-23;0;0;0;1
2021-12-01;0;0;0;1
2021-11-27;1;0;1;2
2021-11-24;0;0;0;1
2021-11-23;0;0;0;1
2021-11-20;1;0;1;1
2021-11-13;0;0;0;1
2021-11-09;0;0;0;1
2021-11-07;0;0;0;1
2021-11-04;12;0;12;1
2021-11-03;4;0;4;0
2021-11-02;6;0;6;0
2021-11-01;3;0;3;1
2021-10-31;19;0;19;0
2021-10-30;3;0;3;0
2021-10-26;0;0;0;1
2021-10-25;1;0;1;0
2021-10-22;0;0;0;1
2021-10-15;2;0;2;1
2021-10-09;1;0;1;1
2021-10-06;0;0;0;1
2021-10-04;4;0;4;0
2021-10-03;2;0;2;1
2021-10-02;7;0;7;1
2021-10-01;2;0;2;1
2021-09-29;0;0;0;3
2021-09-28;0;0;0;1
2021-09-22;7;0;7;1
2021-09-21;10;0;10;0
2021-09-20;13;0;13;0
2021-09-19;1;0;1;0
2021-09-17;0;0;0;1
2021-09-09;1;0;1;1
2021-09-08;0;0;0;1
2021-09-06;0;0;0;1
2021-09-05;2;0;2;0
2021-09-04;11;0;11;0
2021-09-03;7;0;7;0
2021-09-02;4;0;4;0
2021-09-01;2;0;2;0
2021-08-31;3;0;3;0
2021-08-30;0;0;0;2
2021-08-29;1;0;1;0
2021-08-23;5;0;5;0
2021-08-22;2;0;2;0
2021-08-20;6;0;6;0
2021-08-19;2;0;2;0
2021-08-09;1;0;1;0
2021-08-08;9;0;9;1
2021-08-05;0;0;0;1
2021-07-27;0;0;0;1
2021-07-22;15;0;15;0
2021-07-21;2;0;2;0
2021-07-20;13;0;13;0
2021-07-19;15;0;15;0
2021-07-15;2;0;2;0
2021-07-14;2;0;2;1
2021-07-13;0;0;0;1
2021-07-04;0;0;0;1
2021-06-29;14;0;14;0
2021-06-28;17;0;17;0
2021-06-27;1;0;1;0
2021-06-24;1;0;1;2
2021-06-23;2;0;2;1
2021-06-21;0;0;0;1
2021-06-20;0;0;0;1
2021-06-18;0;0;0;1
2021-06-11;0;0;0;1
2021-06-07;0;0;0;1
2021-06-03;7;0;7;0
2021-06-02;1;0;1;0
2021-05-31;1;0;1;0
2021-05-26;0;0;0;1
2021-05-25;1;0;1;2
2021-05-23;5;0;5;1
2021-05-15;3;0;3;0
2021-05-14;2;0;2;1
2021-05-07;1;0;1;0
2021-05-06;1;0;1;0
2021-04-30;0;0;0;1
2021-04-26;0;0;0;1
2021-04-20;21;0;21;0
2021-04-19;2;0;2;0
2021-04-14;4;0;4;1
2021-04-13;23;0;23;0
2021-04-12;5;0;5;0
2021-04-11;2;0;2;1
2021-04-10;0;0;0;1
2021-04-08;0;0;0;1
2021-04-07;1;0;1;0
2021-04-06;1;0;1;1
2021-04-05;1;0;1;0
2021-04-04;0;0;0;1
2021-04-01;3;0;3;0
2021-03-31;1;0;1;0
2021-03-29;1;0;1;0
2021-03-28;1;0;1;0
2021-03-27;1;0;1;0
2021-03-26;3;0;3;0
2021-03-25;1;0;1;1
2021-03-24;2;0;2;0
2021-03-23;9;0;9;1
2021-03-22;6;0;6;1
2021-03-21;9;0;9;0
2021-03-20;5;0;5;1
2021-03-19;1;0;1;0
2021-03-13;1;0;1;0
2021-03-09;2;0;2;0
2021-03-08;1;0;1;0
2021-03-06;4;0;4;0
2021-03-05;1;0;1;0
2021-03-04;1;0;1;0
2021-03-02;1;0;1;0
2021-02-23;8;0;8;0
2021-02-22;1;0;1;1
2021-02-21;6;0;6;1
2021-02-20;2;0;2;0
2021-02-19;3;0;3;0
2021-02-17;4;0;4;0
2021-02-15;0;0;0;1
2021-02-12;0;0;0;2
2021-02-11;1;0;1;0
2021-02-10;21;0;21;0
2021-02-09;12;0;12;2
2021-02-08;1;0;1;1
2021-02-06;2;0;2;0
2021-02-05;1;0;1;0
2021-02-03;1;0;1;0
2021-02-02;3;0;3;0
2021-01-30;0;0;0;1
2021-01-27;0;0;0;1
2021-01-26;3;0;3;1
2021-01-25;8;0;8;1
2021-01-24;3;0;3;1
2021-01-23;4;0;4;0
2021-01-22;1;0;1;2
2021-01-21;4;0;4;1
2021-01-20;1;0;1;1
2021-01-18;1;0;1;0
2021-01-16;0;0;0;1
2021-01-13;3;0;3;1
2021-01-12;38;0;38;3
2021-01-11;3;0;3;1
2021-01-07;1;0;1;0
2021-01-04;3;0;3;0
2021-01-03;4;0;4;1
2021-01-01;1;0;1;0
2020-12-31;3;0;3;5
2020-12-30;0;0;0;1
2020-12-29;1;0;1;0
2020-12-21;0;0;0;1
2020-12-17;0;0;0;1
2020-12-16;1;0;1;0
2020-12-15;12;0;12;1
2020-12-14;1;0;1;1
2020-12-11;3;0;3;1
2020-12-10;6;0;6;2
2020-12-09;55;0;55;1
2020-12-07;3;0;3;0
2020-12-06;4;0;4;0
2020-12-05;22;0;22;1
2020-12-04;11;0;11;0
2020-12-03;17;0;17;2
2020-12-02;3;0;3;2
2020-12-01;2;0;2;0
2020-11-26;0;0;0;1
2020-11-25;0;0;0;2
2020-11-19;0;0;0;2
2020-11-18;5;0;5;1
2020-11-17;34;0;34;1
2020-11-16;1;0;1;0
2020-11-15;6;0;6;1
2020-11-14;2;0;2;0
2020-11-13;2;0;2;0
2020-11-12;6;0;6;2
2020-11-11;43;0;43;0
2020-11-10;0;0;0;1
2020-11-09;6;0;6;3
2020-11-08;1;0;1;0
2020-11-06;13;0;13;0
2020-11-05;0;0;0;1
2020-11-04;43;0;43;1
2020-11-03;4;0;4;1
2020-11-02;9;0;9;0
2020-11-01;1;0;1;2
2020-10-29;4;0;4;0
2020-10-28;13;0;13;1
2020-10-27;3;0;3;2
2020-10-24;2;0;2;0
2020-10-23;1;0;1;1
2020-10-21;1;0;1;1
2020-10-20;2;0;2;0
2020-10-19;1;0;1;0
2020-10-18;3;0;3;0
2020-10-17;31;0;31;0
2020-10-16;13;0;13;0
2020-10-15;24;0;24;0
2020-10-14;12;0;12;0
2020-10-13;18;0;18;1
2020-10-12;2;0;2;0
2020-10-11;7;0;7;0
2020-10-10;2;0;2;3
2020-10-08;4;0;4;1
2020-10-05;2;0;2;0
2020-10-01;1;0;1;0
2020-09-30;0;0;0;1
2020-09-29;0;0;0;2
2020-09-28;3;0;3;0
2020-09-26;2;0;2;0
2020-09-25;9;0;9;1
2020-09-23;12;0;12;1
2020-09-22;3;0;3;1
2020-09-21;11;0;11;0
2020-09-19;1;0;1;1
2020-09-18;7;0;7;2
2020-09-17;16;0;16;3
2020-09-15;4;0;4;1
2020-09-14;10;0;10;0
2020-09-13;10;0;10;1
2020-09-12;5;0;5;1
2020-09-11;1;0;1;1
2020-09-10;1;0;1;1
2020-09-09;0;0;0;3
2020-09-08;1;0;1;0
2020-09-07;10;0;10;1
2020-09-06;4;0;4;0
2020-09-05;1;0;1;1
2020-09-04;11;0;11;5
2020-09-03;1;0;1;1
2020-09-02;6;0;6;2
2020-09-01;7;0;7;2
2020-08-31;7;0;7;1
2020-08-30;6;0;6;2
2020-08-29;3;0;3;2
2020-08-28;1;0;1;1
2020-08-27;14;0;14;0
2020-08-26;16;0;16;3
2020-08-25;31;0;31;8
2020-08-24;0;0;0;2
2020-08-23;0;0;0;1
2020-08-22;11;0;11;2
2020-08-21;3;0;3;1
2020-08-20;6;0;6;3
2020-08-19;12;0;12;1
2020-08-18;0;0;0;1
2020-08-17;2;0;2;1
2020-08-16;6;0;6;1
2020-08-15;12;0;12;3
2020-08-14;10;0;10;2
2020-08-13;0;0;0;1
2020-08-12;0;0;0;2
2020-08-11;1;0;1;0
2020-08-10;4;0;4;1
2020-08-07;2;0;2;0
2020-08-06;6;0;6;1
2020-08-05;33;0;33;4
2020-08-04;12;0;12;2
2020-08-03;5;0;5;0
2020-08-01;2;0;2;1
2020-07-31;17;0;17;0
2020-07-29;1;0;1;0
2020-07-28;0;0;0;2
2020-07-27;1;0;1;0
2020-07-26;11;0;11;1
2020-07-25;3;0;3;0
2020-07-23;3;0;3;1
2020-07-20;1;0;1;0
2020-07-17;7;0;7;1
2020-07-16;0;0;0;1
2020-07-15;8;0;8;0
2020-07-14;2;0;2;0
2020-07-12;7;0;7;2
2020-07-10;2;0;2;1
2020-07-09;2;0;2;0
2020-07-08;9;0;9;1
2020-07-06;3;0;3;0
2020-07-05;1;0;1;0
2020-07-02;4;0;4;2
2020-07-01;1;0;1;1
2020-06-30;1;0;1;0
2020-06-29;20;0;20;0
2020-06-28;4;0;4;2
2020-06-26;1;0;1;1
2020-06-25;3;0;3;0
2020-06-24;8;0;8;0
2020-06-23;0;0;0;1
2020-06-22;3;0;3;0
2020-06-21;6;0;6;0
2020-06-20;4;0;4;0
2020-06-19;1;0;1;0
2020-06-18;0;0;0;1
2020-06-17;1;0;1;0
2020-06-16;5;0;5;0
2020-06-15;2;0;2;0
2020-06-14;3;0;3;0
2020-06-13;7;0;7;0
2020-06-12;1;0;1;2
2020-06-11;3;0;3;0
2020-06-10;6;0;6;5
2020-06-09;2;0;2;1
2020-06-08;0;0;0;1
2020-06-07;3;0;3;0
2020-06-06;0;0;0;2
2020-06-05;4;0;4;1
2020-06-04;1;0;1;1
2020-06-03;8;0;8;2
2020-06-02;0;0;0;1
2020-06-01;1;0;1;1
2020-05-31;1;0;1;0
2020-05-30;2;0;2;0
2020-05-29;1;0;1;1
2020-05-28;4;0;4;4
2020-05-27;2;0;2;0
2020-05-23;1;0;1;1
2020-05-22;0;0;0;1
2020-05-21;0;0;0;1
2020-05-18;0;0;0;1
2020-05-15;1;0;1;0
2020-05-11;3;0;3;0
2020-05-10;8;0;8;3
2020-05-09;1;0;1;0
2020-05-01;0;0;0;1
2020-04-30;0;0;0;1
2020-04-28;1;0;1;1
2020-04-26;1;0;1;1
2020-04-25;0;0;0;1
2020-04-24;0;0;0;1
2020-04-23;20;0;20;3
2020-04-22;5;0;5;3
2020-04-21;2;0;2;8
2020-04-20;1;0;1;0
2020-04-19;1;0;1;3
2020-04-18;0;0;0;1
2020-04-17;0;0;0;1
2020-04-16;4;0;4;1
2020-04-15;1;0;1;2
2020-04-14;0;0;0;6
